"y_quantile","x_quantile","beta1","se","t_value","p_value","direction"
0.05,0.05,0.277094925821709,0.225384715608311,1.22943086479415,0.21899450912985,"oil_to_gold"
0.05,0.1,0.224263969786939,0.157122490612761,1.42731934118619,0.153578763826627,"oil_to_gold"
0.05,0.15,0.169477892295562,0.173927997002908,0.974414097879409,0.329919585564644,"oil_to_gold"
0.05,0.2,-0.0446285924161712,0.248569911982652,-0.17954140973943,0.857523194902097,"oil_to_gold"
0.05,0.25,0.0456073827880337,0.389794194901296,0.117003750657658,0.906863921515266,"oil_to_gold"
0.05,0.3,0.416283657903116,0.388372726439938,1.07186635302388,0.28385536519834,"oil_to_gold"
0.05,0.35,0.237439220675951,0.479276196141989,0.495412087199941,0.620340954529209,"oil_to_gold"
0.05,0.4,-0.462575261122288,0.55809504675292,-0.828846741811489,0.40724872347474,"oil_to_gold"
0.05,0.45,0.723134040492297,0.697132174213668,1.03729833056114,0.299669856831753,"oil_to_gold"
0.05,0.5,0.647582868471095,0.607581577485849,1.06583690563952,0.286572283461092,"oil_to_gold"
0.05,0.55,-0.0775011357512164,0.501826981947051,-0.154437960769901,0.877273497276575,"oil_to_gold"
0.05,0.6,-0.26668845588993,0.419879877858162,-0.635154171355693,0.525370174794535,"oil_to_gold"
0.05,0.65,0.14980201668775,0.341948521227059,0.438083534182853,0.661353276424793,"oil_to_gold"
0.05,0.7,0.122919256671169,0.333595217273892,0.368468282236339,0.712546797344499,"oil_to_gold"
0.05,0.75,0.323781366498517,0.31317293247482,1.03387404505193,0.301267831467625,"oil_to_gold"
0.05,0.8,0.16615790882165,0.203802070362778,0.81529058328937,0.414962522200747,"oil_to_gold"
0.05,0.85,-0.0473307122881196,0.114982106221237,-0.411635460886849,0.680632318338573,"oil_to_gold"
0.05,0.9,-0.0434345908513841,0.0986129457094057,-0.440455262125298,0.659635122734263,"oil_to_gold"
0.05,0.95,-0.0574815510664476,0.0976400226248998,-0.588708907691187,0.556095269835686,"oil_to_gold"
0.1,0.05,0.221973290860783,0.142553134593151,1.557126691702,0.119532531788372,"oil_to_gold"
0.1,0.1,0.187870733998759,0.0991323673471065,1.89515028266136,0.0581563802698916,"oil_to_gold"
0.1,0.15,0.0791069636633446,0.0933551162189809,0.847376843040775,0.396844143400236,"oil_to_gold"
0.1,0.2,0.151667213690998,0.184886974981507,0.820323950381944,0.412088376376361,"oil_to_gold"
0.1,0.25,0.190605225703144,0.206657649051522,0.922323594495282,0.356424586609597,"oil_to_gold"
0.1,0.3,0.0257891253413039,0.242382528120849,0.106398450173957,0.915272435709093,"oil_to_gold"
0.1,0.35,-0.0577438304070755,0.328282195163,-0.17589693031754,0.860385285368323,"oil_to_gold"
0.1,0.4,-0.256812849078703,0.375359090582439,-0.684179111474855,0.493908224770211,"oil_to_gold"
0.1,0.45,0.104013857914015,0.416115883995382,0.249963680586558,0.802630383341275,"oil_to_gold"
0.1,0.5,0.374340489171297,0.350057121155854,1.06936973010365,0.284978239994555,"oil_to_gold"
0.1,0.55,0.233812171063992,0.328876334235244,0.710942523753465,0.477168122838885,"oil_to_gold"
0.1,0.6,-0.196560901731852,0.300863368966089,-0.653322810308642,0.513591916585745,"oil_to_gold"
0.1,0.65,-0.162878643261857,0.323354253918259,-0.503715789380123,0.614493413034657,"oil_to_gold"
0.1,0.7,-0.0318105630787193,0.284076702616277,-0.111978781736594,0.910846773242384,"oil_to_gold"
0.1,0.75,0.00141100101925097,0.217777642075976,0.00647909035014124,0.994830846246161,"oil_to_gold"
0.1,0.8,0.161127686726171,0.176733027908091,0.911701047808473,0.36199008856623,"oil_to_gold"
